rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
292612	1509	Thado	mái	mái	face	face			1.2.5	10	0	jbl5	HIDE	DUPE IN SOURCE
292613	1509	Thado	hài	hài	bottle	bottle			5.1	10	0	jbl5	HIDE	DUPE IN SOURCE
292614	1509	Thado	lʌ̀i	lʌ̀i	dig	dig			6.11	10	0		D5	2400
292615	1509	Thado	xʌ̀i	xʌ̀i	hang	hang			6.1.1.5	10	0			678
292616	1509	Thado	gɛ̀i	gɛ̀i	late	late			9.1.1	10	0	jbl5	HIDE	DUPE IN SOURCE
292617	1509	Thado	méi	méi	fire	fire			3.2.12.2	10	0	jbl5	HIDE	DUPE IN SOURCE
292618	1509	Thado	théi	théi	fruit	fruit			3.1.5	10	0	jbl5	HIDE	DUPE IN SOURCE
292619	1509	Thado	xòi	xòi	bee	bee			2.2.6	10	0	jbl5	HIDE	DUPE IN SOURCE
292620	1509	Thado	vói	vói	wrinkle	wrinkle			9.6.2	10	0	jbl5	HIDE	DUPE IN SOURCE
292621	1509	Thado	ɔ̀i	ɔ̀i	belly	belly			1.4.7	10	0	jbl5	HIDE	DUPE IN SOURCE
292622	1509	Thado	hɔ́i	hɔ́i	beauty	beauty			8.1	10	0	jbl5	HIDE	DUPE IN SOURCE
292623	1509	Thado	lúi	lúi	pull	pull			6.2.2.3.1	10	0			
292624	1509	Thado	sùi	sùi	carve	carve			6.9.2	10	0			
292625	1509	Thado	úm	úm	stay	stay			6.7.11	11	0	jbl5	HIDE	DUPE IN SOURCE
292626	1509	Thado	ūnú	ūnú	sister (elder)	sister (elder)			4.7.2	11	0			
292627	1509	Thado	úpà	úpà	brother (elder)	brother (elder)			1.5.3.2	11	0			
292628	1509	Thado	kūl	kūl	fortress	fortress				11	0			
292629	1509	Thado	gúp	gúp	six	six			9.9	11	0	jbl5	HIDE	DUPE IN SOURCE
292630	1509	Thado	thúm	thúm	three	three			9.9	11	0		D5	2666
292631	1509	Thado	xúʔ	xúʔ	mine	mine			3.2.9	11	0			
292632	1509	Thado	lʰùm	lʰùm	west	west			9.2.8	11	0	jbl5	HIDE	DUPE IN SOURCE
292633	1509	Thado	mù	mù	see	see			1.2.6.10	11	0	jbl5	HIDE	DUPE IN SOURCE
292634	1509	Thado	nú	nú	mother	mother			4.7.1	11	0	jbl5	HIDE	DUPE IN SOURCE
292635	1509	Thado	bù	bù	rice	rice			3.1.4	11	0	jbl5	HIDE	DUPE IN SOURCE
292636	1509	Thado	zù	zù	wine	wine			3.1.6.3	11	0	jbl5	HIDE	DUPE IN SOURCE
292637	1509	Thado	pù	pù	grandfather	grandfather			4.7.1	11	0	jbl5	HIDE	DUPE IN SOURCE
292638	1509	Thado	càu	càu	bracelet	bracelet			5.11.8.3	11	0	jbl5	HIDE	DUPE IN SOURCE
292639	1509	Thado	xàu	xàu	rope	rope			5.11.4	11	0	jbl5	HIDE	DUPE IN SOURCE
292640	1509	Thado	héu	héu	needle	needle			5.1	11	0	jbl5	HIDE	DUPE IN SOURCE
292641	1509	Thado	ānóu	ānóu	young	young			7.1.8.3	11	0			
292642	1509	Thado	còu	còu	challenge	challenge			6.2.2.1	11	0			
292643	1509	Thado	éihɔ̀	éihɔ̀	we (inclusive)	we (inclusive)			4.1	12	0			
292644	1509	Thado	tép	tép	taste (a sample)	taste  (a sample)			1.3.5.8	12	0	jbl3		
292645	1509	Thado	phèʔ	phèʔ	mat	mat			5.11.9.4	12	0			
292646	1509	Thado	lʰèp	lʰèp	betray	betray			6.19	12	0			
292647	1509	Thado	lèl	lèl	tired	tired			9.6.2.2	12	0			
292648	1509	Thado	ʌ̄jèʔ	ʌ̄jèʔ	cause	cause			8.2	12	0			
292649	1509	Thado	lén	lén	big	big			9.7.2	12	0			
292650	1509	Thado	nèl	nèl	argue	argue			8.5.2.1	12	0			
292651	1509	Thado	lè	lè	licking	licking			1.3.3.1	13	0			
292652	1509	Thado	bùʔsé	bùʔsé	cough	cough			1.8.3.3	13	0			
292653	1509	Thado	cè	cè	go	go			6.7.2	13	0			
292654	1509	Thado	mísé	mísé	cruel person	cruel person			8.3.3.2.2	13	0			
292655	1509	Thado	ɛ̀ŋsé	ɛ̀ŋsé	mischief	mischief				13	0			
292656	1509	Thado	thʌ́sè	thʌ́sè	lazy	lazy			9.6.2.2	13	0			
292657	1509	Thado	lèi	lèi	bridge	bridge			9.10.2	13	0			3582
292658	1509	Thado	kéi	kéi	I	I			4.1	13	0	jbl5	HIDE	DUPE IN SOURCE
292659	1509	Thado	sèi	sèi	speak	speak			8.5.10.1	13	0			
292660	1509	Thado	dèi	dèi	like	like			8.3.1.1.1	13	0			
292661	1509	Thado	théi	théi	fruit	fruit			3.1.5	13	0	jbl5	HIDE	DUPE IN SOURCE
